Hotel_id,suggest1,suggest2,suggest3,suggest4,suggest5
0,4137,6943,5671,6843,6755
1,4012,1020,6994,1199,5543
2,2865,2522,6122,5651,3180
3,5611,1729,819,1344,2566
4,4844,6042,2893,6019,6819
5,2538,1711,2391,5816,5467
6,715,613,908,2591,6115
7,1541,1155,591,315,5936
8,5052,1061,5250,2053,3183
9,2651,3776,3027,5401,3884
10,3341,3220,5692,1417,688
11,1473,4915,305,103,6771
12,5548,4628,1308,6029,3726
13,1835,988,2487,3822,1834
14,417,7009,7045,5621,491
15,3321,1361,2398,4575,211
16,4024,3639,999,6820,4547
17,5199,6774,6208,1088,5470
18,2435,5710,774,4381,5396
19,2945,5486,6534,6540,6287
20,4171,2823,3452,4662,6206
21,6683,946,6541,598,912
22,5501,3081,6923,7052,1358
23,5172,5216,997,1474,90
24,126,2209,1939,500,6274
25,2476,3194,166,2178,2063
26,4893,4966,1354,4414,3382
27,2854,2452,3892,785,4048
28,1734,4271,2334,3511,4665
29,3813,3805,3733,3850,3677
30,5619,2829,1268,2295,2672
31,4068,790,3653,4154,6016
32,5323,190,5316,7008,6731
33,6057,1163,197,1584,6374
34,4841,6319,6202,3212,2761
35,4839,2863,1684,3229,4051
36,2982,1348,870,531,6956
37,4697,4937,255,2853,2486
38,4766,4238,4143,6149,4721
39,1690,5490,5744,2165,5366
40,485,3527,978,4119,3102
41,2199,1033,1851,2174,651
42,6985,6066,4133,850,5725
43,1790,2712,3826,4677,7051
44,1920,7030,4127,3650,6184
45,5565,1381,793,6787,899
46,313,1543,3530,726,457
47,953,516,1472,942,4107
48,618,3111,963,967,1060
49,3758,1519,5145,928,1370
50,5497,2182,4110,251,6003
51,6932,1629,1234,1225,73
52,2444,5806,217,2025,6296
53,1670,1974,6487,4768,4050
54,6002,6034,3088,1191,5656
55,5993,820,5521,3916,664
56,976,1138,2491,3304,1848
57,393,6278,6331,6456,6672
58,1059,5956,1070,70,121
59,4345,3843,6228,4947,2309
60,218,1619,1586,5229,2218
61,2758,5085,5067,5219,6352
62,2184,733,4020,5164,3722
63,2851,5741,2738,1557,6978
64,808,806,284,64,408
65,2360,1239,3217,496,4061
66,5365,1902,4401,2093,4307
67,3956,6998,4114,5514,869
68,3681,2323,1343,4175,5018
69,699,303,652,5358,1430
70,114,121,6049,287,611
71,773,1828,6071,3838,3571
72,6625,6953,763,3223,3040
73,2408,5562,5612,1629,1234
74,1657,1951,556,5411,5480
75,885,831,75,782,876
76,5226,6950,2909,6169,6941
77,4063,3989,3073,616,4475
78,2109,419,5719,1456,2926
79,612,1272,1593,6171,5718
80,2238,492,6900,6505,6435
81,3764,6567,6802,6779,6684
82,4478,6051,3488,1424,2900
83,1095,1052,4595,2413,3755
84,1200,84,5949,2467,3063
85,5555,1645,3735,328,372
86,3028,3698,679,2705,5319
87,5214,5807,4939,4642,3696
88,1154,6420,1475,2531,6949
89,263,1499,1495,2881,5416
90,2117,113,1474,5172,23
91,1786,3368,3763,445,5573
92,6715,6377,6231,769,5451
93,3015,3196,3086,93,2394
94,546,3489,5540,1340,3116
95,1723,5253,6966,6522,2815
96,5646,1165,3553,6128,437
